"Reference ID","Author Key","Title","Authors","DOI","Trial ID","Date","Abstract Screening Decision","Full Text Screening Decision","Study Group","Notes","Animal Model","Authors and Publication Year","Anatomical connections","Verification of Zona Incerta Targeting","Photometry Data","Electrophysiology Data","Purpose of this circuit","Necessity vs. sufficiency or Both"
"AIM-31","zhang.nodate","Electroacupuncture suppresses premature ventricular complexes occurring post-myocardial infarction through corticothalamic circuit.","Zhang F, Wang QY, Wei NX, Zhu X, Wu LB, Shu Q, Chang HM, Wu Y, Luo ZJ, Shao WJ, Wei X, Zhou X, Zhou J, Yang L, Duan WX, Zhang B, Hu L, Yu Q, Zhang Z, Cai RL","https://doi.org/10.1016/j.celrep.2025.116734","","","ACCEPT","ACCEPT","zhang.nodate","","","","","","","","",""
"AIM-42","li.nodatec","Delta Opioid Receptors within the Cortico-Thalamic Circuitry Underlie Hyperactivity Induced by High-Dose Morphine.","Li CY, Huang H, Shen XF, Cao KL, Zheng D, Zhu Y, Xie SZ, Yu XD, Wang H, Chen JD, Shi J, Li Y, Yan M, Li XM","https://doi.org/10.1002/advs.202503831","","","ACCEPT","ACCEPT","li.nodatec","","Adult male C57BL/6J, Gad2-Cre, Vglut2-Cre, and TAC1-Cre mice","Chun-Yue Li; Huiqian Huang; Xiao-Fan Shen; Ke-Lei Cao; Di Zheng; Yi Zhu; Shi-Ze Xie; Xiao-Dan Yu; Hao Wang; Jia-Dong Chen; Jie Shi; Yue Li; Min Yan; Xiao-Ming Li (2025)","1) Anterograde AAV2/9-DIO-mGFP-Synaptophysin-mRuby in Vglut2-Cre mice: Cg (glutamatergic) → ZIm. 2) Retrograde CTB-555 into ZIm: ZIm → Cg. 3) Monosynaptic rabies tracing (rAAV2/9-DIO-N2cG + DIO-EGFP-TVA and EnvA-ΔG-rabies) in Gad2-Cre and Vglut2-Cre: Cg → ZIm GABAergic neurons.","Histological post hoc verification of injection and fiber/cannula tracks within the intermediate rostrocaudal ZI (ZIm) using CTB-555 dye, DAPI staining, and alignment to stereotaxic coordinates (AP –1.95 mm, ML ±1.4 mm, DV –3.99 mm).","Population: CgZIm neurons; Indicator: GCaMP7b via rAAV2/2-Retro-Cre (ZIm) plus AAV2/9-DIO-GCaMP7b (Cg); State: saline vs 15 mg/kg morphine; Direction: signal increase; Metric: ΔF/F AUC (saline vs morphine, paired t-test p=0.01); N animals: 8; Correlation with speed: r=0.9086, p=0.0327. Population: ZImCg neurons; Indicator: GCaMP7b via AAV2/1-hSyn-Cre (Cg) plus AAV2/9-DIO-GCaMP7b (ZIm); State: saline vs 15 mg/kg morphine; Direction: increase; Metric: ΔF/F AUC (p=0.0027); N animals: 6; Correlation: r=0.9215, p=0.0041.","","Mediation of high-dose morphine-induced hyperlocomotion (psychomotor activation).","Both"
"AIM-59","zhu.nodate","Transcriptomic and spatial GABAergic neuron subtypes in zona incerta mediate distinct innate behaviors.","Zhu M, Peng J, Wang M, Lin S, Zhang H, Zhou Y, Dai X, Zhao H, Yu YQ, Shen L, Li XM, Chen J","https://doi.org/10.1038/s41467-025-57896-2","","","ACCEPT","ACCEPT","zhu.nodate","","Adult mice: wild-type C57BL/6J, Gad67-GFP transgenic reporter mice for single-nucleus sequencing, and Ecel1-Cre and Pde11a-Cre knock-in lines on a C57BL/6 background for selective targeting of GABAergic subpopulations","Mengyue Zhu; Jieqiao Peng; Mi Wang; Shan Lin; Huiying Zhang; Yu Zhou; Xinyue Dai; Huiying Zhao; Yan-qin Yu; Li Shen; Xiao-Ming Li; Jiadong Chen; 2025","Efferent anterograde projections from rostral ZI Ecel1+ neurons (ZIr^Ecel1) to periaqueductal gray (PAG), lateral septal nucleus (LS), preoptic area (POA), paraventricular thalamus (PVT), reuniens thalamic nucleus (Re), lateral hypothalamus (LH), mediodorsal thalamus (MD); and from medial ZI Pde11a+ neurons (ZIm^Pde11a) to oral pontine reticular formation (PRF), posterior thalamic nucleus (PO), ventral auditory cortex (AuV), anterior pretectal nucleus (APTD), nucleus of Darkschewitsch (Dk), red nucleus (RN), and superior colliculus (SC).","Microdissection guided by Gad67-GFP reporter expression and Allen CCF; FISH of Ecel1/Pde11a and Slc32a1 to map expression across ZIr, ZIm, ZIc; Cre specificity validated by co-localization of Cre with marker and quantification of Cre expression distribution.","ZIr^Ecel1 neurons (AAV-DIO-GCaMP6s, fiber photometry) during water-spray induced self-grooming: signal ↑ before grooming onset, ↓ during grooming (AUC vs mCherry: p=0.0156, p=0.0152, p=0.0385, p=0.0114; n=5; paired t-test; Fig. 6e–g). ZIm^Pde11a neurons (same method) across sleep-wake transitions: signal ↑ at NREM→REM (p=0.0207), ↓ at REM→Wake (p=0.0332), ↓ at Wake→NREM (p=0.0171); n=5; paired t-test; Fig. 8d–e.","","Rostral ZI Ecel1+ projection to PAG mediates self-grooming; medial ZI Pde11a+ projection to PRF promotes transition from sleep to wakefulness.","Both"
"AIM-60","cheung.nodate","Virally encoded connectivity transgenic overlay RNA sequencing (VECTORseq) defines projection neurons involved in sensorimotor integration.","Cheung V, Chung P, Bjorni M, Shvareva VA, Lopez YC, Feinberg EH","https://doi.org/10.1016/j.celrep.2021.110131","","","ACCEPT","ACCEPT","cheung.nodate","","Mus musculus (C57BL/6J), adult male, 8–12 weeks","Victoria Cheung; Philip Chung; Max Bjorni; Varvara A. Shvareva; Yesenia C. Lopez; Evan H. Feinberg; 2021","V1 → striatum (retrograde AAVrg-EF1a-mCherry-IRES-Cre); V1 → superior colliculus (retrograde AAVrg-EF1a-FLPo); V1 → contralateral V1 (retrograde AAVrg-hSyn-Dre); deep SC → contralateral PPRF (retrograde AAVrg-CAG-GFP); deep SC → ipsilateral CnF (retrograde AAVrg-CAG-tdTomato); superficial SC wide-field neurons → lateral posterior nucleus (retrograde HSV-1-hEF1a-Cre); deep SC → medial LP (LPMR) (retrograde HSV-1-hEF1a-Cre); ventral midbrain inhibitory neurons (including ZI region) → ventromedial thalamus (retrograde AAVrg-mCherry-IRES-Cre); ventral midbrain inhibitory neurons → mesencephalic locomotor region (retrograde AAVrg-EF1a-FLPo); ventral midbrain inhibitory neurons → superior colliculus (retrograde Cav-2-GFP).","","","","To develop a multiplexed high-throughput method for transcriptionally profiling projection neurons by using viral transgene mRNA as barcodes to define anatomical connectivity.",""
"AIM-67","martin-cortecero.nodate","Monosynaptic trans-collicular pathways link mouse whisker circuits to integrate somatosensory and motor cortical signals.","Martin-Cortecero J, Isaias-Camacho EU, Boztepe B, Ziegler K, Mease RA, Groh A","https://doi.org/10.1371/journal.pbio.3002126","","","ACCEPT","ACCEPT","martin-cortecero.nodate","","Mouse (C57BL/6N wildtype; transgenic lines: Ntsr1-EYFP, GAD-Cre, Rbp4-Cre-ChR2-EYFP)","Martín-Cortecero J, Isaías-Camacho EU, Boztepe B, Ziegler K, Mease RA, Groh A (2023)","MC (layer 5) → lateral SC (anterograde trans-synaptic AAV1-Cre); BC (layer 5) → lateral SC (anterograde trans-synaptic AAV1-Cre); trigeminal brainstem (Sp5) → lateral SC (anterograde trans-synaptic AAV1-Cre); lateral SC recipient neurons → diencephalon (ZI, PO, VM, PF) and brainstem (PnC, Gi, 7N) via monosynaptic trans-collicular pathways; inhibitory SC neurons → ZI, PO, PF","","","","To integrate somatosensory and motor cortical signals within the whisker-sensitive superior colliculus via parallel excitatory and inhibitory trans-collicular pathways for somato-motor integration.","Correlation"
"AIM-16","liu.nodate","Frequency-selective control of cortical and subcortical networks by central thalamus.","Liu J, Lee HJ, Weitz AJ, Fang Z, Lin P, Choy M, Fisher R, Pinskiy V, Tolpygo A, Mitra P, Schiff N, Lee JH","https://doi.org/10.7554/elife.09215","","","ACCEPT","ACCEPT","liu.nodate","","Sprague-Dawley rat","Jia Liu; Hyun Joo Lee; Andrew J Weitz; Zhongnan Fang; Peter Lin; ManKin Choy; Robert Fisher; Vadim Pinskiy; Alexander Tolpygo; Partha Mitra; Nicholas Schiff; Jin Hyung Lee; 2015","Central thalamus (CL/PC nuclei) → ipsilateral medial prefrontal cortex (anterograde, AAV5-CaMKIIα-ChR2-EYFP, promoter = CaMKIIα, injection coords –3.2 AP, +1.5 ML, –5.6 DV, vol = 2 µL); Central thalamus → ipsilateral lateral prefrontal cortex (same as above); Central thalamus → ipsilateral cingulate cortex (same as above); Central thalamus → ipsilateral motor cortex (same as above); Central thalamus → ipsilateral sensory cortex (same as above); Central thalamus → ipsilateral dorsal striatum (same as above); Zona incerta → ipsilateral somatosensory cortex (anterograde, AAV5-hSyn-eNpHR3.0-mCherry, promoter = hSyn, injection coords –3.96 AP, +2.8 ML, +7.4 DV, vol = 0.5 µL)","Stereotactic placement to –3.96 AP, +2.2–2.6 ML, +6.7–7.2 DV; functional verification by depth readout, polysynaptic spike latencies (~10 ms), and contralateral whisker-evoked receptive fields.","","","To regulate forebrain arousal state via frequency-dependent control of cortical activation: low-frequency stimulation recruits ZI to inhibit sensory cortex and induce behavioral arrest, while high-frequency stimulation activates cortex and promotes wakefulness.","Necessity"
"AIM-80","cui.nodate","Activation of the zona incerta GABAergic circuit for the treatment of pain hypersensitivity in Parkinson's disease mice model.","Cui J, Qian J, Shi Y, Liu Y, Qu L, Jia W, Xie J, Shi L","https://doi.org/10.1186/s10194-025-02198-7","","","ACCEPT","ACCEPT","cui.nodate","","Male C57BL/6 mice (8-week-old, SPF grade) and Vgat-Cre mice (for GABAergic neuron targeting)","Juntao Cui; Junliang Qian; Yaying Shi; Yanhong Liu; Le Qu; Wenting Jia; Junxia Xie; Limin Shi (2025)","Anterograde AAV tracing of ZI GABAergic neurons → axon terminals in ipsilateral S2, striatum (CPU), LGP, TRN, LDVL, ml, prerubral field, PoT, APT, OPT, PAG, SNc, and VTA; Retrograde AAV-GAD67-EGFP-P2A-NLS-Cre in VTA → identification of ZI GABAergic neurons projecting to VTA","Post hoc immunofluorescence histology showing mCherry/GFP expression co-localized with GABA immunostaining within the ZI and correct fiber/cannula placements","Population: ZI GABAergic neurons; Indicator: GCaMP6m via rAAV-GAD67-GCaMP6m + fiber photometry; Epoch: 0.6 g von Frey mechanical stimulus; Direction: increase; Peak ΔF/F: not explicitly stated; N animals: not explicitly stated; Other metrics (latency, duration): not explicitly stated","","To modulate mechanical and thermal pain hypersensitivity in a Parkinson’s disease mouse model by activating or inhibiting ZI GABAergic neurons and their projections to the VTA","Both"
"AIM-68","shiromani.nodate","Most dynorphin neurons in the zona incerta-perifornical area are active in waking relative to non-rapid-eye movement and rapid-eye movement sleep.","Shiromani PJ, Vidal-Ortiz A","https://doi.org/10.1093/sleep/zsae065","","","ACCEPT","ACCEPT","shiromani.nodate","","Homozygous male dynorphin-cre mice (B6;129S-Pdyntm1[1]…cre), age 3–3.5 months","Priyattam J. Shiromani; Aurelio Vidal-Ortiz, 2024","","Postmortem confocal microscopy of GCaMP6M expression and lens tract in zona incerta-perifornical sections","Population: Dynorphin neurons in ZI-perifornical area (dynorphin-cre > rAAV8-Ef1a-Con/Foff2.0-GCaMP6M, GRIN lens microendoscopy). Behavioral states: active wake, quiet wake, NREM, REM transition, REM. N = 3 mice, 64 neurons. Classification: 46/64 (71.9%) wake-max, 13/64 (20.3%) REM-max, 2/64 (3.1%) NREM/transit-max, 3/64 (4.7%) unchanged. One-way repeated-measures ANOVA across states (F(4,180)=59.85, p<0.001); Holm-Sidak post hoc (p<0.05 for pairwise except transit vs REM in wake-max; p<0.01 all comparisons in REM-max). Recording system: Inscopix nVista miniscope; data acquisition: Plexon OmniPlex.","","Determine activity patterns of dynorphin neurons across wake, NREM, and REM sleep using in vivo calcium imaging","correlation"
"AIM-72","cai.nodatea","Aberrant outputs of cerebellar nuclei and targeted rescue of social deficits in an autism mouse model.","Cai XY, Wang XT, Guo JW, Xu FX, Ma KY, Wang ZX, Zhao Y, Xie W, Schonewille M, De Zeeuw C, Chen W, Shen Y","https://doi.org/10.1093/procel/pwae040","","","ACCEPT","ACCEPT","cai.nodatea","","Mouse (Nlgn3R451C knock‐in; Ai9 Cre‐reporter)","Xin-Yu Cai, Xin-Tai Wang, Jing-Wen Guo, Fang-Xiao Xu, Kuang-Yi Ma, Zhao-Xiang Wang, Yue Zhao, Wei Xie, Martijn Schonewille, Chris De Zeeuw, Wei Chen, Ying Shen; 2024","Anterograde transsynaptic tracing: FN→thalamic (VM, CL, VL, VPL, PF, Po, MD), ZI, APT, SC, vlPAG, PB, VTA, PAG (contralateral > ipsilateral) via AAV1‐hSyn‐Cre‐EGFP in Ai9; IN→same targets via AAV1‐hSyn‐Cre‐EGFP; DN→same targets via AAV1‐hSyn‐Cre‐EGFP. Retrograde tracing: ZI→FN, ZI→IN, ZI→DN via AAV2‐EGFP‐WGACre and monosynaptic rabies (EnvA‐ΔG‐EGFP); VL→FN, VL→IN, VL→DN via AAV2‐EGFP‐WGACre.","Injection sites of AAV1‐Cre‐EGFP verified by registering EGFP fluorescence to Allen Brain Atlas across five bregma levels; minimal off‐target labeling observed; normality of starter neuron counts confirmed by Shapiro–Wilk test and Q–Q plots.","","Slice current‐clamp of hM4Di‐expressing ZIIN/ZIDN neurons: CNO hyperpolarized membrane potential and reduced firing rate; vehicle had no effect; exact values not provided.","To test whether excessive cerebellar nucleus→ZI innervation causes social novelty deficits in Nlgn3R451C mice and whether inhibiting ZI‐receiving neurons can rescue these deficits.","Both"
"AIM-29","weitz.nodate","Thalamic Input to Orbitofrontal Cortex Drives Brain-wide, Frequency-Dependent Inhibition Mediated by GABA and Zona Incerta.","Weitz AJ, Lee HJ, Choy M, Lee JH","https://doi.org/10.1016/j.neuron.2019.09.023","","","ACCEPT","ACCEPT","weitz.nodate","","Sprague–Dawley rats","Andrew J. Weitz; Hyun Joo Lee; ManKin Choy; Jin Hyung Lee; 2019","Submedial thalamic nucleus → ventrolateral orbitofrontal cortex (VLO), anterograde mapping via AAV5-CaMKIIa-ChR2-EYFP injection into submedial thalamus (AP –2.4 mm, ML +0.7 mm, DV –6.5 mm)","Histological confirmation of eNpHR-mCherry expression and functional validation via whisker-evoked responses","","","This circuit mediates frequency-dependent, brain-wide inhibition by transmitting thalamic input to VLO through GABAergic and zona incerta pathways.","Both"
"AIM-40","xu.nodate","The multilevel exploration test, a novel paradigm to measure exploratory behavior in depression animal models and the involvement of the PL-ZI circuit.","Xu JN, Li JT, Xu RX, Wang YF, Gao HW, He HT, Guo H, Liang Y, Zhu YD, Li XW, Yang JM, Li XM, Chen YH, Gao TM","https://doi.org/10.1038/s41401-026-01812-x","","","ACCEPT","ACCEPT","xu.nodate","","Adult male C57BL/6J mice","Jun-nan Xu, Jing-ting Li, Ru-xia Xu, Yun-feng Wang, He-wei Gao, Hao-tian He, Han Guo, Yu Liang, Yong-dan Zhu, Xiao-wen Li, Jian-ming Yang, Xiao-ming Li, Yi-hua Chen, Tian-ming Gao; 2026","PL → ZI (retrograde tracing using AAVretro-hSyn-EGFP injection into ZI labeling PL neurons)
PL → ZI (retrograde tracing using CAV-Cre in ZI and Cre-dependent AAV-hSyn-DIO-hM4D(Gi)-mCherry in PL)
PL → ZI (retrograde tracing using AAVretro-Cre in ZI and Cre-dependent AAV2/9-hSyn-DIO-ChR2-EGFP in PL; collateral mapping shows GFP+ processes in ZI and septum)
PL → ZI (retrograde tracing using AAVretro-flp in ZI and flip-dependent AAV-EF1a-fDIO-hM3Dq-EGFP in PL)","Post hoc verification by confocal imaging of viral reporter (EGFP or mCherry) expression at ZI injection sites; specific ZI subregion not specified","Fiber photometry in nucleus accumbens using AAV9-hSyn-DA2M (DA4.4) sensor recorded dopamine dynamics during MET phases (search, attend/investigate, approach); DA4.4 mice (n = 5) showed significant phase-dependent fluorescence increases versus DAmut and shuffled controls (two-tailed unpaired t-test, p < 0.05–0.001 across phases); recordings via standard fiber photometry setup; Fig. 2b–f.","","To test whether the PL→ZI projection mediates exploratory motivation and can rescue depression-like behavioral deficits.","both"
"AIM-55","korobkova.nodate","Demonstrating the ability of GABAergic cells in the zona incerta to modulate motivation.","Korobkova L, Dias BG","https://doi.org/10.64898/2026.05.10.724142","","","ACCEPT","ACCEPT","korobkova.nodate","","vGAT-IRES-Cre transgenic mice (Slc32a1tm2(cre)Lowl/J) on a C57BL/6J-Aw-J/J B6 agouti background","Laura Korobkova; Brian G Dias (2026)","","Postmortem fluorescence microscopy of reporter expression (mCherry, eGFP, GCaMP, EYFP) and optical fiber placement in histological sections to confirm targeting of the zona incerta","Bulk fiber photometry of GCaMP8f in vGAT-Cre–defined ZI GABAergic neurons: (1) in a delayed‐reward FR1 task, calcium transients increased upon lever press and again upon reward delivery; (2) in naïve mice, transient ΔF/F increases were time‐locked to neutral auditory and visual stimuli; (3) in a Pavlovian discrimination task (n=9), CS+ cues evoked significantly larger post‐cue z‐scored ΔF/F AUC than CS– cues only after conditioning (p=0.03147), indicating learned motivational valence encoding.","","To modulate effort‐based motivational drive and integrate reward‐predictive sensory cues into goal‐directed action, including rescuing stress‐induced motivational deficits","Both"
"AIM-71","tong.nodatea","Reactive astrocytes mediate postoperative surgery-induced anxiety through modulation of GABAergic signalling in the zona incerta of mice.","Tong K, Song YT, Jing SQ, You Y, Wang SJ, Wu T, Xu H, Zhang JW, Liu L, Hao JR, Sun N, Cao JL, Gao C","https://doi.org/10.1016/j.bja.2024.08.043","","","ACCEPT","ACCEPT","tong.nodatea","","Adult male and female wild-type C57BL/6J mice (3–6 months; 15–18 months for aged studies) and adult VGAT-Cre mice","Kun Tong, Yu-Tong Song, Si-Qi Jing, Yue You, Shi-Jie Wang, Tong Wu, Han Xu, Jing-Wei Zhang, Le Liu, Jing-Ru Hao, Nan Sun, Jun-Li Cao, Can Gao; 2025","ZI GABAergic neurones (VGAT-Cre) —(anterograde AAV-hySyn-DIO-mCherry)—> ventral periaqueductal gray (vPAG); ZI GABAergic neurones (VGAT-Cre) —(anterograde AAV-hySyn-DIO-mCherry)—> median raphe nucleus (MRN)","Post-hoc confocal imaging of tube/fiber placement and virus (mCherry) expression within ZI boundaries, verified by GFAP/DAPI and NeuN staining","ZI astrocytes (GfaABC1D-GCaMP6s fiber photometry): during EPM open-arm entries, surgery vs sham showed reduced ΔF/F AUC and increased signal frequency; astrocyte-specific hPMCA2w/b restored both metrics. ZI GABAergic neurons (hySyn-DIO-GCaMP6s in VGAT-Cre): during open-arm entries, surgery vs sham showed reduced ΔF/F AUC and decreased frequency, rescued by astrocyte hPMCA2w/b","Whole-cell voltage clamp in ZI GABAergic neurons: tonic GABAA current increased to 34.6 ± 14.0 pA vs 7.9 ± 3.5 pA (P<0.001); sIPSC frequency unchanged. In vivo tetrode recordings: mean spontaneous firing rate decreased to 6.5 ± 4.0 Hz vs 9.16 ± 5.44 Hz (P=0.005).","To elucidate how ZI astrocytes and GABAergic ZI→MRN projections control surgery-induced anxiety-like behaviour","Both"
"AIM-20","schroeder.nodate","Inhibitory top-down projections from zona incerta mediate neocortical memory.","Schroeder A, Pardi MB, Keijser J, Dalmay T, Groisman AI, Schuman EM, Sprekeler H, Letzkus JJ","https://doi.org/10.1016/j.neuron.2022.12.010","","","ACCEPT","ACCEPT","schroeder.nodate","","C57BL6/J wild-type mice; GAD2-IRES-Cre mice for Cre-dependent manipulations; GAD2-T2a-NLS-mCherry mice for fluorescent identification of GABAergic neurons","Anna Schroeder; M. Belén Pardi; Joram Keijser; Tamas Dalmay; Ayelén I. Groisman; Erin M. Schuman; Henning Sprekeler; Johannes J. Letzkus, 2023","ZI GABAergic neurons → auditory cortex (ACx) (retrograde CTB-488/647, FluoroGold); ZI GABAergic → ACx L1 (anterograde AAV2/5-EF1a-DIO-EYFP); ZI → ACx Pvalb+, Sst+, Ndnf+ INs (AAV1-pEF1a-DIO-FLPo transsynaptic); ZI GABAergic → ACx L1 INs and weaker→L2/3 and L5 PNs (AAV-DIO-ChR2 functional mapping); ACx-projecting ZI neurons receive inputs from HO-MG, CEA, PAG, TeA, striatum, pallidum, thalamus, cortex, cerebellum (monosynaptic rabies).","Post-hoc fluorescence histology showing reporter-expressing neurons confined to ventral ZI at AP –1.94 mm, ML ±1.7 mm, DV –4.15 mm.","In vivo two-photon imaging of axon-targeted GCaMP6s in ZI boutons in ACx L1 during discriminative threat conditioning: boutons exhibit bidirectional plasticity (positive and negative responses) to CS+ and CS− across habituation, acquisition, recall; population decoding of CS identity improves with learning and correlates with pupil-indexed memory strength; noise correlations across boutons decrease after conditioning.","L1 interneurons: IPSC 45.9±8.2 pA (n=60 cells, 28 mice), 64% connected; L2/3 pyramidal cells: 7.7±0.9 pA (n=37, 18 mice), 14% connected; L5 pyramidal cells: 12.6±2.0 pA (n=38, 10 mice), 25% connected; IPSCs fully blocked by gabazine; latencies shorter in L1 INs (p<0.01).","To transmit learned top-down relevance of auditory stimuli via disinhibitory projections, enabling experience-dependent plasticity and the formation of auditory threat memory in neocortex.","Necessity"
"AIM-22","moriya.nodate","Involvement of A13 dopaminergic neurons located in the zona incerta in nociceptive processing: a fiber photometry study.","Moriya S, Yamashita A, Masukawa D, Setoyama H, Hwang Y, Yamanaka A, Kuwaki T","https://doi.org/10.1186/s13041-020-00600-w","","","ACCEPT","ACCEPT","moriya.nodate","","DAT-Cre transgenic male mice (14–18 weeks old)","Shunpei Moriya; Akira Yamashita; Daiki Masukawa; Honami Setoyama; Yunsu Hwang; Akihiro Yamanaka; Tomoyuki Kuwaki (2020)","","Immunohistochemical confirmation of G-CaMP6/mCherry in TH-positive A13 neurons and histological verification of fiber placement above the A13 site","Population: A13 dopaminergic neurons; Indicator: G-CaMP6 via AAV-CAG-FLEX-G-CaMP6 in DAT-Cre mice; Recording: bulk fiber photometry; Epochs: acute pinch stimulus, acute heat stimulus (55 °C), non-nociceptive touch, non-nociceptive low heat (25 °C); Direction: increased ΔF/F for pinch and heat, no change for controls; Baseline fluctuation: 0.65 ± 0.09% ΔF/F; N animals: 6; Statistical test: two-way ANOVA with Sidak’s post-hoc (pinch vs touch: p = 0.0009; 25 °C vs 55 °C: p = 0.002); Onset latency difference (pinch vs heat): p = 0.016; Figure: Fig. 1e–i","","To measure how A13 dopaminergic neurons in the zona incerta respond to acute nociceptive stimuli and assess their role in nociceptive processing",""
"AIM-28","ye.nodatea","Zona incerta dopamine neurons encode motivational vigor in food seeking.","Ye Q, Nunez J, Zhang X","https://doi.org/10.1126/sciadv.adi5326","","","ACCEPT","ACCEPT","ye.nodatea","","TH‐Cre mice (with TH‐tdTomato mice used for select histology), both sexes, 8–10 weeks old","Qiying Ye, Jeremiah Nunez, Xiaobing Zhang et al., 2023","1) Anterograde tracing: ZI (TH‐Cre→AAV‐DIO‐EGFP) → PVT and PAG. 2) Retrograde tracing: PVT (AAVrg‐FLEX‐EGFP) → ZI DA neurons. 3) Functional connectivity: ZI→PVT (AAV‐DIO‐ChIEF) optogenetic activation evokes D2 receptor–mediated inhibitory currents in PVT neurons.","Histological verification of virus expression and ablation by TH immunostaining in ZI; injection sites and fiber placements confirmed by postmortem fluorescence microscopy.","Population: ZI DA neurons (GCaMP7f via AAV‐DIO‐GCaMP7f in TH‐Cre; fiber photometry) – Epochs: food approach (increase in z‐score), food consumption (decrease in z‐score); n=6 mice, ~108 trials. Population: ZI→PVT DA axons (FLEx‐axon‐GCaMP6s; fiber photometry) – same epochs and directions; n=6 mice, 132 trials.","1) Cell type: PVT neurons receiving ZI DA input. 2) Not reported. 3) Not reported. 4–5) Not reported. 6) Not reported. 7–9) Not applicable. 10–15) Not reported. 16) 33 ± 1 °C. 17) Standard K+‐gluconate internal, ACSF external. 18–20) Not applicable. 21) Not specified. 22) Fig. 5D. 23) n/a.","To encode and drive motivational vigor in fasting‐induced food‐seeking behaviors via ZI→PVT DA projections.","Both"
"AIM-34","wang.nodate","Morphine- and foot shock-responsive neuronal ensembles in the VTA possess different connectivity and biased GPCR signaling pathway.","Wang F, Liu CB, Wang Y, Wang XX, Yang YY, Jiang CY, Le QM, Liu X, Ma L, Wang FF","https://doi.org/10.7150/thno.90792","","","ACCEPT","ACCEPT","wang.nodate","","Adult C57BL/6 male mice (8–10 weeks old)","Fan Wang, Chao-bao Liu, Yi Wang, Xi-xi Wang, Yuan-yao Yang, Chang-you Jiang, Qiu-min Le, Xing Liu, Lan Ma, Fei-fei Wang; 2024","• DMStr → VTA Mor-Ens (retrograde, monosynaptic rabies, RV-EnvA-ΔG-dsRed)
• MEZ → VTA Mor-Ens (retrograde, monosynaptic rabies)
• VP → VTA Shock-Ens (retrograde, monosynaptic rabies)
• LHb → VTA Shock-Ens (retrograde, monosynaptic rabies)
• VTA Mor-Ens → ZI (anterograde AAV-RAM-EGFP)
• VTA Mor-Ens → VP (anterograde AAV-RAM-EGFP)
• VTA Shock-Ens → GPe (anterograde AAV-RAM-EGFP)
• VTA Shock-Ens → LDT (anterograde AAV-RAM-EGFP)","","Recorded GCaMP7b signals in VTA morphine-responsive and shock-responsive ensembles via fiber photometry. Two behavioral epochs: 2% sucrose consumption and 3 min tail suspension. Mor-Ens: ↑ΔF/F during sucrose (n=9), ↓ΔF/F during suspension; cariprazine (0.2 mg/kg) enhanced sucrose response; no effect on suspension. Shock-Ens: ↑ΔF/F during sucrose (n=8), unaffected by cariprazine or UNC9994; ↓ΔF/F during suspension, attenuation by UNC9994 (0.5 mg/kg). 470/410 nm excitation, reference control included.","","To delineate how morphine- versus foot shock-responsive VTA neuronal ensembles differ in connectivity and GPCR signaling bias, and to link these differences to divergent behavioral outcomes (reward vs. anxiety) for potential targeted interventions.","Sufficiency"
"AIM-51","venkataraman.nodatea","Incerto-thalamic modulation of fear via GABA and dopamine.","Venkataraman A, Hunter SC, Dhinojwala M, Ghebrezadik D, Guo J, Inoue K, Young LJ, Dias BG","https://doi.org/10.1038/s41386-021-01006-5","","","ACCEPT","ACCEPT","venkataraman.nodatea","","Adult male and female vGAT-Cre and TH-Cre mice (2–3 months old)","Archana Venkataraman; Sarah C. Hunter; Maria Dhinojwala; Diana Ghebrezadik; JiDong Guo; Kiyoshi Inoue; Larry J. Young; Brian George Dias, 2021","1) GABAergic ZI→RE: Anterograde AAV5-EF1α-DIO-ChR2-mCherry injection into ZI of vGAT-Cre mice (AP −1.52 mm, ML ±0.73 mm, DV −4.79 mm; 150 nl; 1 nl/s; 6 weeks survival), terminals in RE; functional connectivity shown by optogenetically evoked IPSCs in RE (reversal potential ~−65 mV; DNQX-insensitive; gabazine-sensitive).
2) A13 dopaminergic ZI→RE: Anterograde AAV5-EF1α-DIO-mCherry injection into ZI of TH-Cre mice (AP −1.40 mm, ML ±0.68 mm, DV −4.79 mm; 150 nl; 1 nl/s; 6 weeks survival), terminals in RE; projection confirmed by anterograde fluorescence imaging.","Histological verification of mCherry expression in ZI using Hoechst nuclear stain and fluorescent microscopy; cannula placement confirmed by histology; RNAscope triple-label in situ hybridization of TH, vGAT, and vGlut2 mRNA.","","","To suppress fear generalization and enhance extinction recall via incerto-thalamic (ZI→RE) pathways.","Sufficiency"
